"x"
"Ky."
"N.C."
"N.Y."
"Mo."
"Ga."
"Fla."
"Calif."
"N.M."
"N.J."
"Ind."
"Ill."
"Miss."
"Tenn."
"Mass."
"Ark."
"La."
"Wis."
"Ore."
"Md."
"Texas"
"Pa."
"Maine"
"Idaho"
"Mont."
"Vt."
"Mich."
"Iowa"
"Nev."
"Va."
"Alaska"
"Neb."
"Minn."
"Ariz."
"Ala."
"S.D."
"Utah"
"Ohio"
"Hawaii"
"Okla."
"R.I."
"W.Va."
"Conn."
"Wash."
"N.H."
"Kan."
"Colo."
"S.C."
"D.C."
"Del."
"N.D."
"Wyo."
