"Pell_share_rank","College","State","Type","Freshmen_Pell_share","Pell_change_since_2011","Total_undergraduates","Endowment_per_student","Net_price,_mid-income","Pell_In_2011","Total_Pell_Students","Endowment","Endowment_Per_Pell_Student"
166,"Barnard College","N.Y.","Private",18,-4,2700,166000,21000,14,486,448200000,922222.222222222
166,"College of New Jersey","N.J.","Public",18,1,7100,8000,13200,19,1278,56800000,44444.4444444444
166,"Cornell University","N.Y.","Private",18,3,14700,626000,4000,21,2646,9202200000,3477777.77777778
166,"Hamilton College","N.Y.","Private",18,1,1900,685000,14800,19,342,1301500000,3805555.55555556
166,"New York University","N.Y.","Private",18,-2,27400,191000,30900,16,4932,5233400000,1061111.11111111
166,"North Carolina State University","N.C.","Public",18,-7,26200,79000,13400,11,4716,2069800000,438888.888888889
166,"Occidental College","Calif.","Private",18,-7,1800,302000,14800,11,324,543600000,1677777.77777778
166,"Princeton University","N.J.","Private",18,7,4800,7748000,7000,25,864,37190400000,43044444.4444444
166,"Syracuse University","N.Y.","Private",18,-7,14500,106000,21400,11,2610,1.537e+09,588888.888888889
166,"University of Arkansas","Ark.","Public",18,-6,22800,77000,14400,12,4104,1755600000,427777.777777778
166,"University of Iowa","Iowa","Public",18,1,22300,148000,18300,19,4014,3300400000,822222.222222222
166,"University of Minnesota","Minn.","Public",18,-5,36100,153000,11600,13,6498,5523300000,850000
166,"University of Puget Sound","Wash.","Private",18,-3,1900,241000,17800,15,342,457900000,1338888.88888889
166,"University of San Diego","Calif.","Private",18,2,5500,127000,20100,20,990,698500000,705555.555555556
166,"University of Washington","Wash.","Public",18,-6,32200,146000,7300,12,5796,4701200000,811111.111111111
166,"Ursinus College","Pa.","Private",18,-12,1500,106000,25800,6,270,1.59e+08,588888.888888889
166,"Vanderbilt University","Tenn.","Private",18,5,7100,1536000,9100,23,1278,10905600000,8533333.33333333
166,"Wesleyan University","Conn.","Private",18,2,2900,508000,10300,20,522,1473200000,2822222.22222222
166,"Wofford College","S.C.","Private",18,-7,1800,244000,23200,11,324,439200000,1355555.55555556
186,"Brandeis University","Mass.","Private",17,-2,3500,318000,18900,15,595,1.113e+09,1870588.23529412
