"Pell_share_rank","College","State","Type","Freshmen_Pell_share","Pell_change_since_2011","Total_undergraduates","Endowment_per_student","Net_price,_mid-income","Pell_In_2011","Total_Pell_Students","Endowment","Endowment_Per_Pell_Student"
248,"Colorado School of Mines","Colo.","Public",13,-6,5200,68000,16800,7,676,353600000,523076.923076923
248,"Creighton University","Neb.","Private",13,-8,4500,150000,27200,5,585,6.75e+08,1153846.15384615
248,"Harvey Mudd College","Calif.","Private",13,1,900,505000,18600,14,117,454500000,3884615.38461538
248,"Northeastern University","Mass.","Private",13,0,15200,82000,16900,13,1976,1246400000,630769.230769231
248,"Pennsylvania State University","Pa.","Public",13,-3,40800,72000,29200,10,5304,2937600000,553846.153846154
248,"University of Virginia","Va.","Public",13,0,17300,598000,14600,13,2249,10345400000,4600000
257,"Boston College","Mass.","Private",12,-4,9800,379000,12800,8,1176,3714200000,3158333.33333333
257,"Brigham Young University","Utah","Private",12,-4,33400,78000,12300,8,4008,2605200000,650000
257,"Duke University","N.C.","Private",12,-1,6700,1607000,10300,11,804,10766900000,13391666.6666667
257,"Georgia Institute of Technology","Ga.","Public",12,-5,16600,183000,14800,7,1992,3037800000,1525000
257,"Rose-Hulman Institute of Technology","Ind.","Private",12,-9,2000,145000,30000,3,240,2.9e+08,1208333.33333333
257,"Skidmore College","N.Y.","Private",12,-5,2600,192000,17200,7,312,499200000,1600000
257,"University of Notre Dame","Ind.","Private",12,0,8900,1868000,14600,12,1068,16625200000,15566666.6666667
257,"Villanova University","Pa.","Private",12,1,7000,144000,20500,13,840,1.008e+09,1200000
265,"Auburn University","Ala.","Public",11,-3,24500,41000,22400,8,2695,1004500000,372727.272727273
265,"Furman University","S.C.","Private",11,-5,2300,336000,20500,6,253,772800000,3054545.45454545
265,"Reed College","Ore.","Private",11,-7,1400,553000,19900,4,154,774200000,5027272.72727273
265,"Tufts University","Mass.","Private",11,1,6100,411000,15100,12,671,2507100000,3736363.63636364
265,"William & Mary","Va.","Public",11,1,6200,209000,10700,12,682,1295800000,1900000
265,"Yeshiva University","N.Y.","Private",11,-9,2800,197000,33500,2,308,551600000,1790909.09090909
271,"Bucknell University","Pa.","Private",10,-1,3700,295000,24400,9,370,1091500000,2950000
271,"California Institute of Technology","Calif.","Private",10,1,900,4597000,4400,11,90,4137300000,45970000
271,"Kenyon College","Ohio","Private",10,0,1600,294000,19000,10,160,470400000,2940000
271,"Lafayette College","Pa.","Private",10,2,2500,408000,30300,12,250,1.02e+09,4080000
271,"Loyola Marymount University","Calif.","Private",10,-8,6700,98000,31500,2,670,656600000,980000
271,"Wake Forest University","N.C.","Private",10,-4,5400,339000,10000,6,540,1830600000,3390000
271,"Washington and Lee University","Va.","Private",10,-1,1800,1216000,4100,9,180,2188800000,12160000
271,"Worcester Polytechnic Institute","Mass.","Private",10,-5,4900,126000,37200,5,490,617400000,1260000
279,"Elon University","N.C.","Private",9,-1,6300,53000,30600,8,567,333900000,588888.888888889
279,"Santa Clara University","Calif.","Private",9,-7,5600,275000,27500,2,504,1.54e+09,3055555.55555556
279,"Scripps College","Calif.","Private",9,-6,900,570000,27600,3,81,5.13e+08,6333333.33333333
279,"Southern Methodist University","Texas","Private",9,-6,6800,291000,31700,3,612,1978800000,3233333.33333333
283,"Bates College","Maine","Private",8,-5,1900,248000,9900,3,152,471200000,3100000
283,"Fairfield University","Conn.","Private",8,-12,4400,94000,30700,-4,352,413600000,1175000
283,"Oberlin College","Ohio","Private",8,-2,2600,438000,18200,6,208,1138800000,5475000
283,"Tulane University","La.","Private",8,-5,8500,225000,25700,3,680,1912500000,2812500
