"College","Type","Pell_Share","State","Year"
"university of arkansas","Public",18,"AR",2020
"new york university","Private",18,"NY",2020
"kettering university","Private",17,"MI",2020
"bryn mawr college","Private",17,"PA",2020
"depauw university","Private",17,"IN",2020
"connecticut college","Private",17,"CT",2020
"carleton college","Private",17,"MN",2020
"brandeis university","Private",17,"MA",2020
"hope college","Private",17,"MI",2020
"university of richmond","Private",17,"VA",2020
"rice university","Private",17,"TX",2020
"providence college","Private",17,"RI",2020
"dartmouth college","Private",17,"NH",2020
"missouri university of science and technology","Public",17,"MO",2020
"case western reserve university","Private",17,"OH",2020
"georgia college state university","Public",17,"GA",2020
"university of wyoming","Public",17,"WY",2020
"university of north dakota","Public",17,"ND",2020
"george washington university","Private",17,"DC",2020
"university of delaware","Public",17,"DE",2020
"whitman college","Private",16,"WA",2020
"haverford college","Private",16,"PA",2020
"taylor university","Private",16,"IN",2020
"rhodes college","Private",16,"TN",2020
"bowdoin college","Private",16,"ME",2020
"gonzaga university","Private",16,"WA",2020
"university of denver","Private",16,"CO",2020
"belmont university","Private",16,"TN",2020
"washington university in st louis","Private",16,"MO",2020
"baylor university","Private",16,"TX",2020
"university of georgia","Public",16,"GA",2020
"sarah lawrence college","Private",15,"NY",2020
"davidson college","Private",15,"NC",2020
"trinity college","Private",15,"CT",2020
"stonehill college","Private",15,"MA",2020
"endicott college","Private",15,"MA",2020
"bentley university","Private",15,"MA",2020
"butler university","Private",15,"IN",2020
"quinnipiac university","Private",15,"CT",2020
"university of vermont","Public",15,"VT",2020
"pitzer college","Private",14,"CA",2020
"union college","Private",14,"NY",2020
"westmont college","Private",14,"CA",2020
"colby college","Private",14,"ME",2020
"denison university","Private",14,"OH",2020
"calvin university","Private",14,"MI",2020
"emerson college","Private",14,"MA",2020
"georgetown university","Private",14,"DC",2020
"carnegie mellon university","Private",14,"PA",2020
"brown university","Private",14,"RI",2020
"university of chicago","Private",14,"IL",2020
"texas christian university","Private",14,"TX",2020
"university of miami","Private",14,"FL",2020
"university of colorado boulder","Public",14,"CO",2020
"harvey mudd college","Private",13,"CA",2020
"college of the holy cross","Private",13,"MA",2020
"colgate university","Private",13,"NY",2020
"creighton university","Private",13,"NE",2020
"colorado school of mines","Public",13,"CO",2020
"northeastern university","Private",13,"MA",2020
"clemson university","Public",13,"SC",2020
"rosehulman institute of technology","Private",12,"IN",2020
"skidmore college","Private",12,"NY",2020
"duke university","Private",12,"NC",2020
"villanova university","Private",12,"PA",2020
"university of notre dame","Private",12,"IN",2020
"boston college","Private",12,"MA",2020
"brigham young university","Private",12,"UT",2020
"reed college","Private",11,"OR",2020
"furman university","Private",11,"SC",2020
"yeshiva university","Private",11,"NY",2020
"william mary","Public",11,"VA",2020
"tufts university","Private",11,"MA",2020
"auburn university","Public",11,"AK",2020
"california institute of technology","Private",10,"CA",2020
"kenyon college","Private",10,"OH",2020
"washington and lee university","Private",10,"VA",2020
"lafayette college","Private",10,"PA",2020
"bucknell university","Private",10,"PA",2020
"worcester polytechnic institute","Private",10,"MA",2020
"loyola marymount university","Private",10,"CA",2020
"wake forest university","Private",10,"NC",2020
"scripps college","Private",9,"CA",2020
"santa clara university","Private",9,"CA",2020
"southern methodist university","Private",9,"TX",2020
"elon university","Private",9,"NC",2020
"bates college","Private",8,"ME",2020
"oberlin college","Private",8,"OH",2020
"fairfield university","Private",8,"CT",2020
"berea college","Private",94,"KY",2020
"cuny baruch college","Public",56,"NY",2020
"college of mount st vincent","Private",52,"NY",2020
"university of new mexico","Public",42,"NM",2020
"university of california irvine","Public",39,"CA",2020
"university of montana","Public",32,"MT",2020
"university of california davis","Public",30,"CA",2020
"cooper union","Private",29,"NY",2020
"louisiana state university","Public",29,"LA",2020
"university of nevada reno","Public",29,"NV",2020
"university of texas austin","Public",29,"TX",2020
"hobart and william smith colleges","Private",28,"NY",2020
"university of california santa barbara","Public",28,"CA",2020
"rutgers university","Public",26,"NJ",2020
"university of nebraska lincoln","Public",26,"NE",2020
"franklin marshall college","Private",25,"PA",2020
"university of california berkeley","Public",25,"CA",2020
"university of alabama huntsville","Public",24,"AK",2020
"university of california san diego","Public",24,"CA",2020
"university of texas dallas","Public",24,"TX",2020
"college of wooster","Private",23,"OH",2020
"university of hawaii manoa","Public",23,"HI",2020
"university of oklahoma","Public",23,"OK",2020
